#;Control cluster;Control title;Control;Control description;Reference frameworks;Lifecycle phase;Segment;Threats addressed;Criterio
1;Policies & procedures;Information Security Policies;An Information Security Policy (ISP) and other relevant cybersecurity policies and guidelines are defined and documented (e.g. change management policy  remote access policy  incident response  and other) ;"ISP and topic-specific policies  procedures and other types of documentation are defined  approved by management  published  communicated to and acknowledged by relevant personnel and relevant interested parties  and reviewed at planned intervals and if significant changes occur. Although primarily focused on management aspects of cybersecurity  the control has wide applicability across the Threat Taxonomy.";"ISO27kNIST IR 8401 NIST IR 8411 SPARTA";All ;"Ground Space User Human Resources";Inadequate security planning/management;Mitigation Presence   
2;Policies & procedures;Information security roles and responsibilities;Information security roles and responsibilities are defined;"Information security roles and responsibilities are defined  allocated and communicated according to the organization needs and the ISP. These are also coordinated with third party roles and responsibilities  as applicable. Roles and responsibilities are defined in contractual agreements  which include information security responsibilities that remain valid after termination or change of employmentand confidentiality and/or non-disclosure agreements aligned with the organization's information protection requirements The allocation of roles and responsibilities specifies segregation of duties and responsibilities involves separating conflicting duties and areas of responsibility to prevent conflicts of interest or potential misuse of authority  ensuring transparency  accountability  and integrity within the organizational structure. Management requires that all personnel apply information security measures in accordance with the established information security policy  topic-specific policies and procedures of the organization. Although primarily focused on management aspects of cybersecurity  the control has wide applicability across the Threat Taxonomy.";"BSI TR-03184 ISO27k NIST IR 8323r1 NIST IR 8401 NIST IR 8411";All ;"Ground Space User Human Resources";Inadequate security planning/management;Mitigation Presence   
3;Policies & procedures;Resource allocation;Adequate resources are allocated commensurate with the cybersecurity risk strategy  roles  responsibilities  and policies.;"Sufficient resources are assigned appropriately in alignment with the cybersecurity risk strategy  encompassing the designated roles  responsibilities  and policies  thereby ensuring adequate support and funding for effective risk management and mitigation efforts. Although primarily focused on management aspects of cybersecurity  the control has wide applicability across the Threat Taxonomy.";NIST CSF 2.0;All ;"Ground Space User Human Resources";Inadequate security planning/management;Mitigation Presence   
4;Policies & procedures;Secure Workload-to-Workload Authenticator;Procedures for secure authentication integration protocol are defined and documented;Policies and procedures to ensure that the developed or delivered systems do not embed unencrypted static authenticators in applications  access scripts  configuration files  nor store unencrypted static authenticators on function keys are defined and documented. These also include digital document signatures that ensure  authentication of all documents.;NASA BPG;Phase B/C;"Ground Space User Human Resources";Social Engineering, Identity Theft, Malicious code/software/activity: Network exploit, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption, Misuse of equipment, Negligence of asset handling security requirements;"Vulnerability Effectiveness  Access Complexity   Privilege Requirement"
5;Compliance;Legal  statutory  regulatory and contractual requirements;Legal  statutory  regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements are identified  documented and kept up to date.;Legal  statutory  regulatory and contractual requirements relevant to information security and the organization’s approach to meet these requirements are identified  documented and kept up to date. This encompasses  but is not confined to  regulations stemming from the organization's industry and its role within or connection to critical infrastructure  privacy regulations  and regulations concerning cybersecurity incident reporting  and extra-territorial jurisdiction.;"BSI Profile for Space ISO27k NIST CSF 2.0 NIST IR 8401 NIST IR 8411 METI";All ;"Ground Space User";Data leaks, Abuse of leaked data;Mitigation Presence   
6;Compliance;Intellectual property rights;Procedures and processes for protecting intellectual property are defined and documented;Suitable measures to safeguarding intellectual property rights are defined and implemented. This includes developing comprehensive protocols to prevent unauthorized access  use  or disclosure of proprietary information  as well as instituting procedures for promptly identifying and addressing any potential infringements or breaches. All employees and relevant stakeholders are educated about the importance of protecting intellectual property and are provided with clear guidelines and training on how to uphold these rights effectively.;ISO27k;"Phase B/C   Phase E";"Space User";Data leaks, Unauthorized access;Mitigation Presence   
7;Compliance;Independent review of information security;Independentl review(s) of information security (auditing) are conducted;The organization's strategy for overseeing information security and its execution  encompassing personnel  procedures  and technologies  is subjected to periodic independent reviews  scheduled at regular intervals or following notable changes or incidents. Assessments encompass both internal and external cybersecurity audits  along with forensic audits  and extend to suppliers  partners  or other third parties involved.;"ISO27k NIST IR 8270 NIST IR 8411";All ;"Ground Space User";Data leaks, Abuse of leaked data;"Vulnerability Effectiveness   Mitigation Presence   Detection Probability"
8;Compliance;Assessment & Authorization concept;Assessment & Authorization (A&A) procedures and processes are defined and documented;The assessment and authorization (A&A) process delineates how thoroughly a specific design and implementation adhere to a predefined set of security requisites outlined by the organisation and relevant regulatory frameworks  and is documented within a formal authorisation package.;SPARTA;Phase B/C;Ground;Inadequate security planning/management, Malicious code/software/activity: Software and vulnerabilities exploit;"Vulnerability Effectiveness   Mitigation Presence   Privilege Requirement"
9;Risk management;Threat modelling;Threat modelling is employed to identify and reduce the attack surface;Threat modeling  attack surface analysis  and vulnerability assessment are employed to guide the development process  drawing on analysis from similar systems  components  or services when relevant. Leveraging identified threats  organisation can work towards minimising the attack surface where feasible. For the space segment  threat modeling consideres the lifetime of the system that can be over 15 years and includes analysis of emerging threats stemming for nascent technologies (quantum).;SPARTA;Phase B/C;"Ground Space User Human Resources";Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption;"Vulnerability Effectiveness   Mitigation Presence   Access Complexity"
10;Risk management;Criticality Analysis;Criticality analysis is performed to identify ciritcal functions  components and data flows;A criticality analysis is performed to identify mission critical functions  critical components  and data flows and reduce the vulnerability of such functions and components through secure system design. Identification of critical components/functions enables focusing measures for supply chain protection  access management or network security on those most critical. As in control #9  the critically analysis consideres the lifetime of the system that can be over 15 years. ;SPARTA;Phase B/C;"Ground Space User Human Resources";Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Preventing services, Resource exhaustion, Data leaks;"Vulnerability Effectiveness   Mitigation Presence   Resilience Impact"
11;Risk management;Adaptive Risk Response and Resource Allocation Funcion;Continuous process of qualitative and quantitative mission security risk analysis and risk response is conducted for the duration of the mission;A continuous process for qualitative and quantitative mission security risk analysis and risk response is established and implemented  spanning the entire duration of the mission. The process includes regular assessments to identify potential security threats and vulnerabilities  evaluate their potential impact and likelihood  and prioritize them based on their severity. Effective risk response strategies are defined and implemented to mitigate identified risks  monitor the effectiveness of these strategies  and make necessary adjustments in response to new threats or changes in the mission environment. Continuous training and awareness programs are conducted to ensure all mission personnel are equipped to recognize and address security risks. Regular audits and reviews are performed to ensure compliance with security policies and procedures  and to incorporate lessons learned from past incidents and emerging best practices.;NASA BPG;All ;"Ground Space User Human Resources";Compromising confidential information (data breaches): Exfiltration, Malicious code/software/activity: Cryptographic exploit, Malicious code/software/activity: Network exploit, Theft of authentication information, Unauthorized modification: Parameters, Interception of communication, Man-in-the-Middle, Network manipulation (Bus-Payload Link), Network traffic manipulation (TC), Position detection (telemetry), Replay of recorded authentic communication traffic, Unauthorized access, Failure of communication networks;"Vulnerability Effectiveness   Mitigation Presence   Response Delay"
